ticker,date,open,high,low,close,volume
MSFT,2024-01-15,163.38,168.23,158.75,166.8,12160949
MSFT,2024-01-16,166.8,168.83,164.39,168.23,4934955
MSFT,2024-01-17,168.23,169.05,168.22,168.54,31535094
MSFT,2024-01-18,168.54,169.97,165.06,168.65,38296980
MSFT,2024-01-19,168.65,171.95,166.21,167.3,15609659
MSFT,2024-01-20,167.3,172.15,164.41,168.6,22045662
MSFT,2024-01-21,168.6,168.89,165.68,167.29,36643271
MSFT,2024-01-22,167.29,168.08,162.49,162.94,13470502
MSFT,2024-01-23,162.94,163.28,162.6,163.19,28096918
MSFT,2024-01-24,163.19,163.79,158.74,159.98,40897505
MSFT,2024-01-25,159.98,160.18,159.57,159.97,38931736
MSFT,2024-01-26,159.97,162.58,155.3,156.78,49062818
MSFT,2024-01-27,156.78,158.36,155.46,155.84,44318824
MSFT,2024-01-28,155.84,157.34,154.25,156.57,5868286
MSFT,2024-01-29,156.57,156.62,153.47,155.24,7709628
MSFT,2024-01-30,155.24,155.61,154.17,154.55,24421586
MSFT,2024-01-31,154.55,158.96,150.16,153.41,11586210
MSFT,2024-02-01,153.41,155.6,150.69,152.18,44887607
MSFT,2024-02-02,152.18,154.82,148.84,152.16,45519263
MSFT,2024-02-03,152.16,152.68,147.77,149.07,8183062
MSFT,2024-02-04,149.07,152.78,148.29,149.55,15135116
MSFT,2024-02-05,149.55,153.14,148.53,151.46,18715659
MSFT,2024-02-06,151.46,153.98,150.2,153.64,4409056
MSFT,2024-02-07,153.64,154.1,151.52,152.23,1237947
MSFT,2024-02-08,152.23,153.9,151.58,153.85,11843582
MSFT,2024-02-09,153.85,157.56,151.09,153.86,1648922
GOOG,2024-01-01,122.37,127.1,118.92,120.14,3417807
GOOG,2024-01-02,120.14,124.31,117.23,118.28,9552724
GOOG,2024-01-03,118.28,118.48,116.45,118.35,3677299
GOOG,2024-01-04,118.35,122.84,117.3,118.68,7898363
GOOG,2024-01-05,118.68,120.45,115.88,119.88,42651888
GOOG,2024-01-06,119.88,123.63,115.25,117.23,11905308
GOOG,2024-01-07,117.23,122.11,113.18,121.05,2663384
GOOG,2024-01-08,121.05,121.95,116.43,120.75,28629602
GOOG,2024-01-09,120.75,124.76,116.43,123.18,18905028
GOOG,2024-01-10,123.18,123.98,119.68,121.32,3598764
GOOG,2024-01-11,121.32,125.62,120.21,124.63,31890427
GOOG,2024-01-12,124.63,126.37,120.52,125.62,15960146
GOOG,2024-01-13,125.62,125.74,124.65,125.01,5658747
GOOG,2024-01-14,125.01,129.85,123.62,127.61,27821962
GOOG,2024-01-15,127.61,131.01,123.39,125.92,2852240
GOOG,2024-01-16,125.92,126.49,121.06,122.03,18815146
GOOG,2024-01-17,122.03,122.22,119.05,120.15,22050528
GOOG,2024-01-18,120.15,122.33,115.23,116.05,39694168
GOOG,2024-01-19,116.05,117.0,115.83,116.34,35891263
GOOG,2024-01-20,116.34,120.96,113.64,118.91,46005117
GOOG,2024-01-21,118.91,119.9,116.75,119.74,23159349
GOOG,2024-01-22,119.74,122.85,116.42,117.22,21154286
GOOG,2024-01-23,117.22,119.76,113.89,115.8,47788864
GOOG,2024-01-24,115.8,117.28,115.16,116.05,26444008
GOOG,2024-01-25,116.05,119.44,111.54,116.4,21196404
GOOG,2024-01-26,116.4,118.43,112.23,114.12,15105121
GOOG,2024-01-27,114.12,116.27,111.22,114.52,32204829
GOOG,2024-01-28,114.52,116.73,111.14,114.0,12387796
GOOG,2024-01-29,114.0,117.29,112.58,115.71,42557889
GOOG,2024-01-30,115.71,117.39,111.62,115.95,46150553
GOOG,2024-01-31,115.95,117.5,111.92,112.74,4101350
GOOG,2024-02-01,112.74,113.97,110.37,113.42,5887419
GOOG,2024-02-02,113.42,115.7,108.99,112.86,49207378
GOOG,2024-02-03,112.86,116.34,110.38,111.84,45027307
GOOG,2024-02-04,111.84,115.27,107.37,114.17,8152952
GOOG,2024-02-05,114.17,118.06,113.08,117.09,47701848
GOOG,2024-02-06,117.09,119.68,116.84,117.54,9144237
GOOG,2024-02-07,117.54,119.83,113.54,117.74,38508841
GOOG,2024-02-08,117.74,120.71,112.98,119.87,42114401
GOOG,2024-02-09,119.87,123.95,115.41,119.06,37767064
AMZN,2024-01-01,189.18,189.98,184.88,187.17,17591977
AMZN,2024-01-02,187.17,191.37,185.79,190.13,33520755
AMZN,2024-01-03,190.13,193.26,188.76,189.11,20174891
AMZN,2024-01-04,189.11,190.28,187.43,189.97,6407475
AMZN,2024-01-05,189.97,190.66,188.82,190.1,48406986
AMZN,2024-01-06,190.1,191.17,188.03,189.07,32267650
AMZN,2024-01-07,189.07,191.14,188.03,189.34,40196905
AMZN,2024-01-08,189.34,194.07,189.24,193.49,39633925
AMZN,2024-01-09,193.49,195.4,193.46,194.14,27171560
AMZN,2024-01-10,194.14,198.41,189.38,193.16,37650318
AMZN,2024-01-11,193.16,197.16,188.67,192.82,19316378
AMZN,2024-01-12,192.82,195.0,192.67,193.45,46576440
AMZN,2024-01-13,193.45,197.44,189.83,196.23,9564956
AMZN,2024-01-14,196.23,201.13,193.56,200.43,40721251
AMZN,2024-01-15,200.43,203.25,200.29,202.19,10106638
AMZN,2024-01-16,202.19,206.53,201.29,202.65,22968265
AMZN,2024-01-17,202.65,203.71,201.01,203.06,26442729
AMZN,2024-01-18,203.06,204.46,198.31,200.9,6496634
AMZN,2024-01-19,200.9,203.25,197.15,197.47,24485441
AMZN,2024-01-20,197.47,198.59,197.13,198.53,3701677
AMZN,2024-01-21,198.53,202.3,193.78,195.48,2367679
AMZN,2024-01-22,195.48,198.59,194.29,196.32,8676545
AMZN,2024-01-23,196.32,199.14,195.23,197.97,25756136
AMZN,2024-01-24,197.97,198.81,194.93,197.83,8686170
AMZN,2024-01-25,197.83,201.72,197.01,198.48,39834875
AMZN,2024-01-26,198.48,198.61,196.92,198.06,26186423
AMZN,2024-01-27,198.06,200.04,194.49,194.91,47346348
AMZN,2024-01-28,194.91,199.06,193.69,197.44,21238871
AMZN,2024-01-29,197.44,201.69,194.43,195.31,38979090
AMZN,2024-01-30,195.31,199.22,193.58,196.0,25868590
AMZN,2024-01-31,196.0,196.34,192.76,192.8,29189664
AMZN,2024-02-01,192.8,196.91,192.28,196.73,43653394
AMZN,2024-02-02,196.73,201.19,194.43,195.47,12820351
AMZN,2024-02-03,195.47,199.14,190.64,192.94,37116172
AMZN,2024-02-04,192.94,196.81,190.61,195.73,40760298
AMZN,2024-02-05,195.73,197.07,191.47,196.12,6815848
AMZN,2024-02-06,196.12,197.52,193.87,196.61,39241962
AMZN,2024-02-07,196.61,199.66,194.71,194.85,22811331
AMZN,2024-02-08,194.85,195.76,193.79,195.36,23839753
AMZN,2024-02-09,195.36,196.76,192.38,196.24,38298504
NVDA,2024-01-01,102.03,106.77,101.6,105.32,33787904
NVDA,2024-01-02,105.32,108.1,104.12,106.02,48770935
NVDA,2024-01-03,106.02,108.47,102.05,102.65,15871082
NVDA,2024-01-04,102.65,104.67,101.43,103.58,25764543
NVDA,2024-01-05,103.58,105.95,100.93,103.06,37935945
NVDA,2024-01-06,103.06,104.72,99.55,100.95,17871415
NVDA,2024-01-07,100.95,102.1,97.34,98.85,36961221
NVDA,2024-01-08,98.85,103.6,95.39,96.97,33494017
NVDA,2024-01-09,96.97,98.35,94.02,97.31,41049948
NVDA,2024-01-10,97.31,98.73,96.81,97.18,16266136
NVDA,2024-01-11,97.18,98.98,95.67,98.02,9494838
NVDA,2024-01-12,98.02,99.39,93.14,96.6,47802888
NVDA,2024-01-13,96.6,101.32,93.41,99.36,7884540
NVDA,2024-01-14,99.36,103.73,96.49,99.89,30559360
NVDA,2024-01-15,99.89,101.59,95.06,96.71,33059863
NVDA,2024-01-16,96.71,97.28,96.38,96.83,39723234
NVDA,2024-01-17,96.83,99.97,96.56,97.07,38771525
NVDA,2024-01-18,97.07,101.81,96.64,97.92,38451647
NVDA,2024-01-19,97.92,101.75,94.89,100.31,16145607
NVDA,2024-01-20,100.31,104.19,98.41,103.66,20955030
NVDA,2024-01-21,103.66,107.96,98.71,101.54,42676438
NVDA,2024-01-22,101.54,101.84,96.74,97.24,14944410
NVDA,2024-01-23,97.24,100.37,95.92,96.28,17097079
NVDA,2024-01-24,96.28,97.15,95.91,95.91,31232791
NVDA,2024-01-25,95.91,99.36,93.56,93.75,20334391
NVDA,2024-01-26,93.75,97.28,90.23,93.43,47129621
NVDA,2024-01-27,93.43,94.6,92.11,94.08,40580109
NVDA,2024-01-28,94.08,97.39,89.41,92.8,37544962
NVDA,2024-01-29,92.8,93.93,92.06,92.56,10545315
NVDA,2024-01-30,92.56,92.91,91.73,92.09,39198838
NVDA,2024-01-31,92.09,96.7,89.89,93.08,21407214
NVDA,2024-02-01,93.08,96.58,88.37,92.48,34138036
NVDA,2024-02-02,92.48,94.67,89.49,94.1,22630635
NVDA,2024-02-03,94.1,97.11,93.97,94.69,46251397
NVDA,2024-02-04,94.69,98.87,91.81,98.52,46116053
NVDA,2024-02-05,98.52,102.63,95.64,100.97,12756850
NVDA,2024-02-06,100.97,103.32,97.71,102.85,13179530
NVDA,2024-02-07,102.85,107.84,100.67,106.51,7123174
NVDA,2024-02-08,106.51,108.86,104.46,105.87,8019579
NVDA,2024-02-09,105.87,110.16,104.23,108.34,20341968
